height_cm,weight_kg,weak_foot,skill_moves,work_rate,body_type,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_balance
180,70,2,4,8,21.604938271604937,90.0,79.0,83.0,87.0,57.0,71.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
181,73,4,4,7,22.282592106468055,91.0,86.0,84.0,86.0,33.0,65.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
186,75,4,3,8,21.678806798473808,81.0,84.0,82.0,80.0,46.0,72.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
172,74,4,4,6,25.013520822065985,88.0,86.0,77.0,88.0,28.0,66.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
183,76,2,4,3,22.694018931589476,74.0,74.0,86.0,87.0,27.0,58.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
170,68,3,3,4,23.529411764705884,66.0,72.0,91.0,85.0,60.0,58.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
189,90,4,3,4,25.195263290501387,76.0,82.0,81.0,79.0,80.0,90.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
176,83,4,3,8,26.794938016528928,76.0,87.0,80.0,83.0,44.0,87.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
192,85,3,2,4,23.057725694444446,73.0,56.0,69.0,67.0,87.0,81.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
176,72,4,4,4,23.243801652892564,80.0,74.0,82.0,89.0,35.0,63.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
189,73,3,3,4,20.43615800229557,56.0,59.0,78.0,75.0,81.0,81.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
182,78,5,3,4,23.54788069073783,58.0,81.0,89.0,84.0,58.0,69.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
184,79,4,4,3,23.334120982986768,84.0,84.0,75.0,82.0,30.0,74.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
184,71,3,3,4,20.97117202268431,79.0,83.0,70.0,80.0,41.0,81.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
188,81,4,3,7,22.917609778180175,82.0,83.0,63.0,79.0,40.0,88.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
180,75,4,3,8,23.148148148148145,78.0,78.0,80.0,81.0,81.0,83.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
188,78,1,1,4,22.068809416025353,0.0,0.0,0.0,0.0,0.0,0.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
190,81,3,2,4,22.437673130193907,53.0,61.0,72.0,68.0,84.0,85.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
174,63,3,4,4,20.808561236623067,74.0,75.0,84.0,87.0,31.0,60.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
192,90,4,3,4,24.4140625,77.0,50.0,66.0,69.0,83.0,82.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
196,90,3,1,4,23.427738442315704,0.0,0.0,0.0,0.0,0.0,0.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
173,75,3,3,8,25.05930702662969,86.0,86.0,78.0,87.0,46.0,84.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
192,85,3,2,7,23.057725694444446,66.0,54.0,69.0,60.0,86.0,76.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
177,76,4,4,8,24.258674071946118,76.0,74.0,83.0,86.0,61.0,72.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
171,62,3,4,7,21.20310522895934,88.0,81.0,75.0,87.0,39.0,66.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
179,67,3,4,5,20.91070815517618,81.0,75.0,80.0,85.0,43.0,44.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
175,75,4,4,7,24.489795918367346,79.0,76.0,84.0,86.0,39.0,60.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
188,88,3,2,8,24.898143956541425,75.0,45.0,54.0,64.0,88.0,84.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
189,85,4,2,5,23.79552644102909,56.0,69.0,74.0,65.0,83.0,86.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
184,82,4,3,7,24.22022684310019,81.0,84.0,68.0,80.0,30.0,71.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
192,80,2,1,4,21.70138888888889,0.0,0.0,0.0,0.0,0.0,0.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
185,84,2,1,4,24.543462381300216,0.0,0.0,0.0,0.0,0.0,0.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
177,68,4,2,1,21.705129432793896,43.0,69.0,91.0,82.0,55.0,59.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
183,77,4,2,5,22.99262444384723,55.0,71.0,86.0,68.0,78.0,72.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
185,83,4,2,5,24.251278305332356,68.0,71.0,79.0,75.0,82.0,84.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
186,76,2,2,5,21.967857555786793,76.0,51.0,55.0,56.0,87.0,86.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
170,67,5,3,4,23.18339100346021,75.0,80.0,87.0,84.0,48.0,63.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
168,66,5,4,4,23.384353741496604,73.0,78.0,85.0,87.0,31.0,61.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
186,83,4,3,4,23.991212856977683,68.0,85.0,64.0,72.0,32.0,73.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
179,85,3,3,7,26.528510346119035,68.0,79.0,88.0,81.0,64.0,63.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
186,78,3,2,5,22.54595907041276,67.0,48.0,62.0,60.0,86.0,78.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
188,80,4,4,7,22.634676324128566,76.0,78.0,79.0,83.0,73.0,88.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
176,74,3,3,6,23.889462809917354,76.0,76.0,82.0,86.0,32.0,62.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
180,79,4,4,7,24.382716049382715,79.0,70.0,83.0,86.0,67.0,70.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
193,82,3,1,4,22.014013799028163,0.0,0.0,0.0,0.0,0.0,0.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
176,66,3,5,7,21.306818181818183,93.0,77.0,76.0,87.0,57.0,71.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
183,76,2,4,3,22.694018931589476,89.0,82.0,69.0,81.0,29.0,70.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
180,74,4,3,4,22.839506172839506,72.0,75.0,85.0,84.0,63.0,66.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
177,70,3,3,8,22.34351559258195,71.0,78.0,79.0,80.0,70.0,77.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
169,64,5,4,7,22.40817898532965,83.0,76.0,78.0,84.0,37.0,60.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
188,80,3,2,4,22.634676324128566,52.0,57.0,68.0,64.0,86.0,78.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
175,70,3,2,8,22.857142857142858,78.0,67.0,76.0,76.0,84.0,82.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
188,90,3,1,4,25.46401086464464,0.0,0.0,0.0,0.0,0.0,0.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
184,75,3,3,4,22.152646502835537,69.0,82.0,87.0,81.0,55.0,67.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
181,72,4,4,7,21.97735111870822,85.0,79.0,82.0,84.0,57.0,74.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
188,85,1,1,4,24.049343594386603,0.0,0.0,0.0,0.0,0.0,0.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
187,90,4,2,5,25.737081414967538,41.0,47.0,56.0,52.0,84.0,80.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
198,90,3,2,4,22.95684113865932,31.0,41.0,57.0,48.0,87.0,76.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
183,77,3,2,5,22.99262444384723,53.0,50.0,77.0,71.0,79.0,82.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
188,81,3,2,5,22.917609778180175,73.0,51.0,58.0,59.0,84.0,83.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
186,79,3,2,2,22.835009827725745,75.0,36.0,58.0,59.0,86.0,79.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
190,88,3,2,5,24.37673130193906,52.0,39.0,55.0,51.0,84.0,83.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
174,74,3,2,5,24.441802087462015,69.0,59.0,70.0,69.0,84.0,80.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
186,79,3,3,8,22.835009827725745,73.0,83.0,68.0,77.0,39.0,82.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
173,64,3,3,6,21.383941996057334,86.0,70.0,79.0,83.0,76.0,68.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
170,60,3,4,4,20.761245674740486,91.0,71.0,78.0,84.0,29.0,53.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
196,87,3,1,4,22.646813827571847,0.0,0.0,0.0,0.0,0.0,0.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
186,78,3,1,4,22.54595907041276,0.0,0.0,0.0,0.0,0.0,0.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
178,84,3,3,3,26.511804065143288,87.0,77.0,80.0,84.0,37.0,76.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
171,61,4,3,4,20.86111966075032,74.0,75.0,83.0,82.0,71.0,72.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
193,89,2,1,4,23.893258879433006,0.0,0.0,0.0,0.0,0.0,0.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
186,76,3,2,4,21.967857555786793,76.0,49.0,56.0,57.0,84.0,79.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
179,76,4,4,8,23.719609250647608,79.0,76.0,81.0,83.0,74.0,79.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
185,84,3,1,4,24.543462381300216,0.0,0.0,0.0,0.0,0.0,0.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
193,84,4,3,4,22.550940964858118,71.0,84.0,68.0,78.0,36.0,71.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
187,84,3,3,8,24.021275987303035,75.0,82.0,61.0,75.0,43.0,87.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
172,64,4,4,7,21.63331530557058,82.0,73.0,76.0,88.0,32.0,49.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
180,85,2,4,7,26.234567901234566,85.0,87.0,80.0,81.0,43.0,86.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
177,71,5,4,7,22.66270867247598,81.0,72.0,83.0,83.0,47.0,55.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
189,82,4,1,4,22.955684331345708,0.0,0.0,0.0,0.0,0.0,0.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
176,68,3,4,7,21.952479338842977,85.0,77.0,76.0,83.0,30.0,68.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
177,75,2,4,6,23.93948099205209,86.0,77.0,74.0,85.0,30.0,65.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
180,75,4,3,7,23.148148148148145,86.0,70.0,81.0,82.0,79.0,72.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
172,72,3,4,4,24.337479718766904,93.0,73.0,76.0,87.0,44.0,63.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
183,79,4,3,7,23.589835468362743,73.0,77.0,81.0,81.0,58.0,70.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
188,80,4,4,0,22.634676324128566,82.0,82.0,68.0,81.0,30.0,79.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
169,61,4,4,7,21.35779559539232,88.0,77.0,80.0,87.0,37.0,53.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
174,75,3,3,7,24.772096710265558,81.0,67.0,78.0,84.0,77.0,79.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
194,84,3,3,5,22.31905622276544,67.0,70.0,76.0,75.0,80.0,85.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
190,82,3,1,4,22.714681440443215,0.0,0.0,0.0,0.0,0.0,0.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
178,74,4,3,8,23.355636914530994,75.0,72.0,85.0,81.0,53.0,73.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
185,85,4,4,7,24.835646457268076,82.0,81.0,66.0,78.0,43.0,85.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
173,72,3,3,7,24.0569347455645,83.0,83.0,74.0,84.0,29.0,52.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
200,83,2,1,4,20.75,0.0,0.0,0.0,0.0,0.0,0.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
189,86,3,3,7,24.075473810923548,72.0,67.0,74.0,69.0,82.0,81.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
185,85,3,2,4,24.835646457268076,78.0,52.0,61.0,65.0,84.0,82.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
187,82,3,2,4,23.449340844748203,66.0,50.0,65.0,65.0,83.0,78.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
175,75,4,4,8,24.489795918367346,89.0,73.0,78.0,87.0,51.0,63.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
193,88,3,2,4,23.624795296518027,71.0,57.0,58.0,57.0,83.0,79.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
173,67,2,4,4,22.386314277122523,83.0,74.0,81.0,86.0,38.0,57.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
178,74,4,4,7,23.355636914530994,93.0,82.0,68.0,82.0,38.0,73.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
196,91,3,1,4,23.688046647230323,0.0,0.0,0.0,0.0,0.0,0.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
193,87,2,1,4,23.35633171360305,0.0,0.0,0.0,0.0,0.0,0.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
189,84,3,3,7,23.515579071134628,77.0,64.0,72.0,72.0,80.0,78.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
187,80,3,2,5,22.877405702193368,72.0,58.0,72.0,72.0,83.0,82.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
191,83,2,1,4,22.75156931005181,0.0,0.0,0.0,0.0,0.0,0.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
183,83,3,3,4,24.78425751739377,63.0,83.0,85.0,75.0,70.0,81.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
191,88,3,1,4,24.12214577451276,0.0,0.0,0.0,0.0,0.0,0.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
178,70,4,4,3,22.093170054286073,85.0,76.0,81.0,84.0,33.0,56.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
186,79,3,1,4,22.835009827725745,0.0,0.0,0.0,0.0,0.0,0.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
187,83,4,3,4,23.735308416025617,50.0,66.0,78.0,73.0,79.0,84.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
191,87,3,1,4,23.84803048162057,0.0,0.0,0.0,0.0,0.0,0.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
188,92,3,2,4,26.029877772747852,54.0,64.0,53.0,55.0,84.0,83.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
173,73,4,4,7,24.3910588392529,75.0,73.0,84.0,85.0,39.0,64.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
178,76,3,3,8,23.98687034465345,74.0,52.0,74.0,75.0,83.0,82.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
180,74,3,2,4,22.839506172839506,68.0,72.0,80.0,76.0,75.0,73.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
189,88,4,2,4,24.635368550712467,75.0,82.0,60.0,70.0,30.0,79.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
175,70,3,3,7,22.857142857142858,85.0,82.0,77.0,84.0,31.0,60.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
188,87,3,3,4,24.615210502489816,64.0,56.0,72.0,71.0,83.0,76.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
173,75,4,4,7,25.05930702662969,87.0,76.0,75.0,85.0,32.0,73.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
175,73,4,3,4,23.836734693877553,71.0,74.0,85.0,81.0,65.0,67.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
170,70,3,3,7,24.221453287197235,77.0,74.0,81.0,77.0,80.0,74.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
185,82,3,1,4,23.959094229364496,0.0,0.0,0.0,0.0,0.0,0.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
182,78,3,3,7,23.54788069073783,82.0,62.0,76.0,78.0,81.0,77.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
175,71,4,3,4,23.183673469387756,87.0,74.0,79.0,83.0,58.0,72.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
184,78,3,3,8,23.03875236294896,81.0,67.0,73.0,74.0,81.0,82.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
180,76,5,4,4,23.456790123456788,71.0,81.0,83.0,85.0,63.0,73.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
190,77,2,1,4,21.329639889196677,0.0,0.0,0.0,0.0,0.0,0.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
194,83,3,2,5,22.053353172494422,53.0,47.0,56.0,50.0,81.0,85.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
177,71,3,3,7,22.66270867247598,84.0,73.0,75.0,86.0,41.0,63.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
191,78,3,2,4,21.380992845590857,76.0,45.0,60.0,62.0,83.0,76.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
189,85,2,2,4,23.79552644102909,67.0,29.0,56.0,55.0,83.0,80.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
171,71,4,4,7,24.280975342840534,81.0,68.0,81.0,87.0,33.0,50.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
172,70,3,4,4,23.661438615467823,72.0,72.0,79.0,87.0,57.0,65.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
181,76,5,4,7,23.198315069747565,77.0,80.0,80.0,82.0,41.0,69.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
176,68,3,3,6,21.952479338842977,96.0,77.0,75.0,81.0,33.0,64.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
170,69,3,3,7,23.87543252595156,92.0,69.0,75.0,81.0,78.0,76.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
172,68,3,3,4,22.985397512168742,76.0,69.0,81.0,84.0,61.0,77.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
186,78,3,2,8,22.54595907041276,67.0,72.0,79.0,76.0,75.0,83.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
178,72,5,4,8,22.724403484408533,86.0,75.0,77.0,85.0,54.0,71.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
181,76,3,4,4,23.198315069747565,77.0,77.0,77.0,85.0,33.0,67.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
175,74,4,4,6,24.163265306122447,86.0,81.0,69.0,88.0,29.0,55.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
180,72,4,3,7,22.22222222222222,55.0,69.0,84.0,82.0,67.0,59.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
184,80,2,2,5,23.629489603024574,71.0,39.0,50.0,57.0,84.0,81.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
184,77,3,2,8,22.743383742911153,68.0,65.0,75.0,73.0,81.0,81.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
183,79,4,4,7,23.589835468362743,78.0,82.0,78.0,83.0,38.0,70.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
187,75,3,2,7,21.447567845806283,67.0,66.0,77.0,72.0,77.0,80.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
182,91,4,3,3,27.47252747252747,73.0,82.0,59.0,74.0,39.0,85.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
183,72,4,4,4,21.49959688255845,88.0,83.0,75.0,83.0,37.0,67.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
179,68,3,3,7,21.22280827689523,93.0,69.0,72.0,83.0,40.0,64.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
185,72,4,2,8,21.0372534696859,66.0,56.0,68.0,66.0,85.0,82.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
175,71,3,3,3,23.183673469387756,86.0,80.0,64.0,76.0,31.0,63.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
187,83,2,2,5,23.735308416025617,68.0,33.0,60.0,57.0,80.0,83.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
175,66,4,5,6,21.551020408163264,84.0,79.0,79.0,86.0,27.0,64.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
180,70,3,3,8,21.604938271604937,88.0,69.0,77.0,82.0,79.0,73.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
179,75,3,4,4,23.40750912892856,76.0,81.0,71.0,82.0,37.0,72.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
184,84,4,2,3,24.8109640831758,70.0,77.0,63.0,73.0,32.0,63.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
188,92,3,1,4,26.029877772747852,0.0,0.0,0.0,0.0,0.0,0.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
189,75,3,4,0,20.99605274208449,64.0,82.0,80.0,80.0,32.0,62.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
188,85,4,3,4,24.049343594386603,67.0,83.0,75.0,75.0,36.0,78.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
176,66,2,3,7,21.306818181818183,73.0,55.0,71.0,74.0,80.0,75.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
176,74,4,3,4,23.889462809917354,53.0,78.0,81.0,81.0,37.0,63.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
186,78,4,3,4,22.54595907041276,78.0,79.0,71.0,80.0,32.0,70.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
174,72,3,2,2,23.781212841854934,71.0,51.0,72.0,72.0,78.0,82.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
187,87,3,1,4,24.879178701135288,0.0,0.0,0.0,0.0,0.0,0.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
183,80,3,3,5,23.888440980620498,77.0,71.0,76.0,75.0,80.0,86.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
176,67,4,3,5,21.62964876033058,78.0,74.0,80.0,81.0,73.0,76.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
191,80,3,2,8,21.929223431375238,66.0,83.0,71.0,69.0,45.0,80.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
192,90,2,1,4,24.4140625,0.0,0.0,0.0,0.0,0.0,0.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
179,72,3,3,3,22.47120876377142,76.0,81.0,68.0,76.0,42.0,75.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
192,81,2,2,1,21.97265625,39.0,53.0,59.0,53.0,84.0,75.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
191,79,3,2,7,21.655108138483047,73.0,65.0,66.0,61.0,83.0,77.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
185,84,4,4,4,24.543462381300216,73.0,80.0,75.0,82.0,42.0,75.0,48,45,41,28,41,61,30,77,23,21,38,34,53,89
